Employee_ID,Age,Gender,Marital_Status,Education_Field,Department,Job_Role,Job_Level,Annual_Salary,Monthly_Income,Years_At_Company,Years_Since_Last_Promotion,Training_Hours_Last_Year,Overtime,Job_Satisfaction,Environment_Satisfaction,Work_Life_Balance,Performance_Rating,Percent_Salary_Hike,Attrition
EMP0028,54,Male,Divorced,Finance,Sales,Sales Director,5,189495,15791.25,8,3,50,Yes,2,3,2,3,15,Yes
EMP0029,56,Female,Single,Life Sciences,Sales,Sales Director,5,205478,17123.17,4,1,14,No,3,3,1,3,17,No
EMP0030,23,Non-binary,Married,Finance,Technology,Tech Lead,4,175558,14629.83,1,0,41,Yes,2,1,2,2,11,No
EMP0031,30,Non-binary,Divorced,Computer Science,Finance,Financial Analyst,1,79044,6587.0,2,1,21,Yes,2,3,2,2,13,Yes
EMP0032,23,Non-binary,Divorced,Computer Science,Human Resources,HR Specialist,2,93599,7799.92,2,0,58,Yes,2,4,4,2,10,No
EMP0033,35,Male,Divorced,Marketing,Human Resources,HR Specialist,2,92508,7709.0,11,1,59,No,5,2,1,2,13,No
EMP0034,34,Female,Divorced,Other,Sales,Sales Representative,1,54882,4573.5,13,1,60,No,4,3,3,2,14,No
EMP0035,22,Male,Married,Computer Science,Finance,Finance Manager,4,150129,12510.75,0,0,37,Yes,2,4,2,3,17,Yes
EMP0036,39,Male,Single,Computer Science,Human Resources,HR Director,5,165981,13831.75,14,6,31,Yes,3,2,1,2,14,No
EMP0037,39,Non-binary,Single,Human Resources,Sales,Sales Representative,1,58317,4859.75,15,8,58,Yes,3,4,3,2,13,No
EMP0038,41,Non-binary,Divorced,Marketing,Finance,Finance Manager,4,156070,13005.83,10,5,54,No,3,3,4,2,14,No
EMP0039,33,Female,Single,Other,Finance,Finance Manager,5,154382,12865.17,9,4,16,No,3,3,3,3,15,Yes
EMP0040,57,Male,Divorced,Life Sciences,Finance,Financial Analyst,2,83810,6984.17,9,7,40,No,2,1,5,2,10,No
EMP0041,26,Non-binary,Divorced,Other,Technology,Senior Engineer,3,151886,12657.17,2,0,25,Yes,4,4,4,2,13,No
EMP0042,41,Non-binary,Married,Marketing,Marketing,Marketing Coordinator,1,48251,4020.92,6,5,23,Yes,1,3,2,2,14,Yes
EMP0043,40,Non-binary,Married,Other,Finance,Financial Analyst,1,73668,6139.0,18,3,37,Yes,2,2,3,2,12,No
EMP0044,58,Male,Married,Computer Science,Finance,Finance Manager,4,137841,11486.75,16,8,41,No,3,4,4,3,14,Yes
EMP0045,58,Non-binary,Single,Other,Human Resources,HR Associate,2,53740,4478.33,15,8,51,No,3,5,3,3,14,No
EMP0046,48,Male,Married,Other,Technology,Senior Engineer,3,147471,12289.25,9,6,58,No,3,3,3,4,24,No
EMP0047,22,Non-binary,Divorced,Finance,Finance,Financial Analyst,1,76854,6404.5,1,1,58,Yes,2,2,2,2,10,No
EMP0048,37,Non-binary,Single,Marketing,Marketing,Marketing Coordinator,1,48054,4004.5,7,1,39,No,4,2,5,2,12,No
EMP0049,52,Male,Single,Finance,Marketing,Marketing Specialist,2,84640,7053.33,16,2,14,Yes,3,3,4,3,16,No
EMP0050,53,Female,Married,Human Resources,Finance,Finance Manager,4,155614,12967.83,12,7,30,No,5,3,3,3,17,Yes
EMP0051,46,Male,Divorced,Other,Sales,Sales Director,5,162426,13535.5,4,4,47,Yes,1,4,1,1,6,Yes
EMP0052,31,Female,Married,Marketing,Human Resources,HR Director,5,192587,16048.92,1,1,53,No,2,3,2,3,18,Yes
EMP0053,40,Female,Divorced,Computer Science,Finance,Financial Analyst,2,88065,7338.75,3,3,20,No,5,1,4,2,12,No
EMP0054,37,Non-binary,Married,Human Resources,Sales,Sales Executive,2,100070,8339.17,7,7,47,Yes,3,3,3,3,16,No
EMP0055,32,Female,Married,Marketing,Marketing,Brand Manager,3,117807,9817.25,11,4,39,No,2,3,3,2,14,No
EMP0056,40,Non-binary,Married,Computer Science,Finance,Finance Manager,4,164944,13745.33,1,1,28,No,2,4,2,2,12,No
EMP0057,30,Non-binary,Single,Other,Technology,Tech Lead,5,152186,12682.17,9,5,56,Yes,5,3,3,3,16,Yes
EMP0058,32,Male,Married,Marketing,Human Resources,HR Associate,1,50467,4205.58,2,0,53,No,2,5,2,2,13,Yes
EMP0059,51,Male,Divorced,Other,Human Resources,HR Director,5,191847,15987.25,11,1,53,Yes,1,4,2,2,10,Yes
EMP0060,41,Non-binary,Married,Computer Science,Sales,Sales Representative,2,54973,4581.08,15,1,16,Yes,2,3,2,3,18,Yes
EMP0061,31,Male,Divorced,Computer Science,Finance,Finance Director,5,193333,16111.08,0,0,54,No,3,5,4,2,12,No
EMP0062,44,Female,Married,Marketing,Sales,Sales Representative,2,59900,4991.67,2,2,23,No,3,1,4,2,11,No
EMP0063,35,Female,Divorced,Life Sciences,Marketing,Marketing Specialist,3,72634,6052.83,5,1,60,No,1,4,2,2,12,No
EMP0064,29,Non-binary,Single,Life Sciences,Technology,Tech Lead,5,165593,13799.42,5,0,21,Yes,2,3,2,2,12,Yes
EMP0065,54,Female,Divorced,Computer Science,Marketing,Brand Manager,3,92041,7670.08,1,1,35,No,2,4,3,3,16,No
EMP0066,26,Female,Married,Human Resources,Marketing,Brand Manager,3,129150,10762.5,4,2,39,No,3,4,2,3,18,No
EMP0067,35,Male,Married,Life Sciences,Finance,Finance Manager,5,146131,12177.58,6,5,16,No,3,3,5,3,17,Yes
EMP0068,27,Male,Single,Other,Human Resources,HR Specialist,2,87217,7268.08,4,4,31,No,3,4,5,2,10,No
EMP0069,41,Male,Single,Human Resources,Marketing,Marketing Specialist,2,80800,6733.33,7,1,32,No,3,4,3,3,18,No
EMP0070,57,Female,Divorced,Other,Human Resources,HR Associate,1,58124,4843.67,10,5,10,Yes,1,4,1,4,19,Yes
EMP0071,48,Male,Married,Life Sciences,Human Resources,HR Manager,4,132197,11016.42,19,1,13,Yes,3,1,1,2,14,No
EMP0072,39,Female,Divorced,Computer Science,Human Resources,HR Director,5,157267,13105.58,9,7,43,No,1,3,3,1,7,No
EMP0073,30,Male,Married,Marketing,Technology,Software Engineer,1,98223,8185.25,2,0,34,No,2,4,4,2,13,No
EMP0074,24,Male,Single,Finance,Technology,Tech Lead,4,187578,15631.5,3,3,28,Yes,1,3,3,3,16,Yes
EMP0075,37,Male,Divorced,Finance,Marketing,Marketing Coordinator,1,55167,4597.25,10,3,31,No,1,4,3,2,12,No
EMP0076,31,Female,Single,Life Sciences,Human Resources,HR Specialist,2,73009,6084.08,10,1,21,No,4,3,3,2,14,No
EMP0077,42,Non-binary,Married,Life Sciences,Finance,Financial Analyst,1,85689,7140.75,9,4,47,Yes,3,3,3,3,14,No
EMP0078,27,Non-binary,Divorced,Human Resources,Finance,Finance Director,5,213032,17752.67,4,0,38,No,3,2,3,2,10,No
EMP0079,43,Non-binary,Single,Human Resources,Sales,Sales Representative,1,59344,4945.33,14,8,43,No,2,5,2,3,18,Yes
EMP0080,43,Female,Married,Computer Science,Marketing,Marketing Director,5,168621,14051.75,8,2,31,Yes,3,5,2,3,15,No
EMP0081,27,Male,Divorced,Finance,Human Resources,HR Specialist,2,92208,7684.0,5,4,15,No,3,3,3,2,11,No
EMP0082,53,Female,Single,Life Sciences,Sales,Sales Representative,1,48314,4026.17,16,8,57,No,1,3,2,2,13,Yes
EMP0083,32,Non-binary,Married,Computer Science,Finance,Finance Manager,4,135566,11297.17,7,4,58,No,3,3,3,3,17,No
EMP0084,34,Male,Divorced,Human Resources,Finance,Finance Director,5,225425,18785.42,4,3,42,No,5,4,4,2,12,No
EMP0085,52,Male,Divorced,Computer Science,Marketing,Marketing Coordinator,1,50253,4187.75,8,7,42,Yes,2,5,2,2,10,Yes
EMP0086,45,Female,Married,Computer Science,Human Resources,HR Specialist,2,71246,5937.17,20,5,60,Yes,1,5,2,3,17,Yes
EMP0087,27,Female,Married,Life Sciences,Sales,Sales Director,5,167286,13940.5,6,2,25,Yes,1,3,2,2,13,Yes
EMP0088,54,Non-binary,Single,Other,Sales,Account Manager,3,113122,9426.83,7,6,21,No,1,5,1,2,14,No
EMP0089,54,Non-binary,Single,Finance,Finance,Financial Analyst,1,77232,6436.0,8,0,32,No,2,4,2,3,16,Yes
EMP0090,43,Non-binary,Single,Other,Finance,Finance Director,5,216401,18033.42,5,1,14,No,5,1,2,3,14,No
EMP0091,41,Non-binary,Married,Human Resources,Finance,Finance Manager,4,162395,13532.92,6,2,32,No,1,4,3,3,17,No
EMP0092,50,Male,Married,Life Sciences,Finance,Finance Director,5,199074,16589.5,16,4,15,No,1,4,2,2,12,Yes
EMP0093,40,Male,Married,Human Resources,Finance,Senior Analyst,3,118038,9836.5,14,0,56,No,3,5,3,4,18,No
EMP0094,47,Male,Divorced,Other,Sales,Sales Representative,1,64908,5409.0,14,0,18,Yes,3,3,2,3,17,No
EMP0095,45,Male,Single,Human Resources,Sales,Account Manager,3,108264,9022.0,7,1,11,No,3,3,3,2,12,No
EMP0096,35,Non-binary,Married,Other,Finance,Senior Analyst,3,99853,8321.08,7,2,55,No,1,4,4,2,12,No
EMP0097,57,Non-binary,Married,Marketing,Sales,Sales Executive,3,108341,9028.42,7,1,22,No,2,3,3,2,13,No
EMP0098,57,Female,Divorced,Computer Science,Technology,Tech Lead,4,181369,15114.08,16,6,59,No,3,2,3,2,13,No
EMP0099,44,Female,Divorced,Other,Marketing,Marketing Specialist,3,69228,5769.0,13,8,13,No,3,3,2,4,21,Yes
EMP0100,40,Female,Married,Life Sciences,Marketing,Brand Manager,3,109845,9153.75,19,8,15,No,2,5,2,3,18,Yes
EMP0101,24,Female,Single,Computer Science,Marketing,Brand Manager,3,127495,10624.58,3,0,41,No,3,4,3,2,13,No
EMP0102,26,Non-binary,Single,Life Sciences,Finance,Finance Director,5,206735,17227.92,3,1,31,No,3,4,4,3,17,No
EMP0103,45,Non-binary,Divorced,Computer Science,Human Resources,HR Specialist,2,76764,6397.0,14,3,19,Yes,3,3,3,3,15,No
EMP0104,58,Non-binary,Married,Life Sciences,Sales,Sales Director,5,193733,16144.42,14,7,29,No,1,3,3,2,14,No
EMP0105,25,Male,Married,Human Resources,Finance,Finance Manager,4,127044,10587.0,3,1,26,No,4,3,3,2,11,No
EMP0106,40,Female,Married,Human Resources,Finance,Finance Manager,5,160844,13403.67,19,1,18,No,3,4,3,4,20,No
EMP0107,54,Male,Divorced,Computer Science,Technology,Software Engineer,1,91826,7652.17,15,8,39,Yes,4,2,5,2,14,No
EMP0108,41,Non-binary,Married,Human Resources,Marketing,Marketing Director,5,196447,16370.58,18,4,40,No,3,4,5,2,10,No
EMP0109,38,Non-binary,Divorced,Human Resources,Sales,Sales Representative,1,50587,4215.58,16,6,19,No,2,4,2,2,13,Yes
EMP0110,35,Male,Divorced,Human Resources,Finance,Financial Analyst,2,81996,6833.0,3,2,52,No,3,5,3,2,14,No
EMP0111,38,Non-binary,Married,Life Sciences,Sales,Account Manager,3,104736,8728.0,9,4,55,Yes,2,3,2,3,16,Yes
EMP0112,56,Male,Married,Marketing,Sales,Account Manager,3,95179,7931.58,11,7,51,Yes,2,3,2,3,15,Yes
EMP0113,37,Female,Single,Other,Marketing,Marketing Specialist,2,66720,5560.0,3,3,31,No,2,4,1,2,11,Yes
EMP0114,52,Male,Divorced,Life Sciences,Human Resources,HR Manager,3,98877,8239.75,2,2,46,Yes,3,4,1,2,11,No
EMP0115,24,Male,Married,Life Sciences,Human Resources,HR Associate,1,51516,4293.0,2,1,39,No,3,3,5,3,17,No
EMP0116,29,Male,Single,Other,Finance,Finance Manager,5,120923,10076.92,5,2,46,No,2,4,4,2,13,No
EMP0117,27,Male,Divorced,Computer Science,Sales,Sales Executive,2,91256,7604.67,0,0,26,Yes,2,3,2,2,12,Yes
EMP0118,25,Non-binary,Single,Finance,Human Resources,HR Specialist,2,84466,7038.83,2,2,17,No,5,3,3,4,25,No
EMP0119,45,Male,Divorced,Human Resources,Finance,Senior Analyst,4,100365,8363.75,16,7,43,No,1,4,1,2,14,Yes
EMP0120,32,Male,Divorced,Finance,Technology,Senior Engineer,4,147035,12252.92,1,1,13,No,3,3,1,2,12,No
EMP0121,47,Male,Single,Other,Sales,Sales Representative,1,56289,4690.75,2,2,13,No,1,5,1,2,11,No
EMP0122,48,Male,Married,Finance,Finance,Finance Director,5,180259,15021.58,17,2,51,No,2,5,3,2,11,No
EMP0123,23,Male,Married,Other,Marketing,Marketing Director,5,184860,15405.0,1,0,25,No,2,2,4,3,14,No
EMP0124,48,Non-binary,Single,Life Sciences,Sales,Sales Representative,1,46100,3841.67,14,0,25,No,3,3,2,3,14,Yes
EMP0125,36,Non-binary,Divorced,Marketing,Marketing,Brand Manager,3,99388,8282.33,7,6,29,No,3,4,4,2,13,No
EMP0126,25,Male,Divorced,Other,Finance,Finance Manager,4,146755,12229.58,1,1,34,Yes,2,3,2,2,13,No
EMP0127,57,Male,Married,Human Resources,Marketing,Marketing Specialist,2,73355,6112.92,6,2,51,Yes,2,3,2,2,13,No
EMP0128,24,Female,Single,Human Resources,Marketing,Marketing Specialist,2,75910,6325.83,2,0,23,No,5,2,5,2,11,No
EMP0129,35,Male,Single,Human Resources,Human Resources,HR Manager,3,129973,10831.08,10,5,29,No,3,3,2,4,25,No
EMP0130,42,Female,Married,Marketing,Finance,Financial Analyst,1,72250,6020.83,4,0,26,No,3,4,3,2,11,No
EMP0131,37,Male,Divorced,Other,Human Resources,HR Manager,4,127022,10585.17,15,7,20,No,3,2,3,2,14,No
EMP0132,25,Non-binary,Single,Computer Science,Technology,Software Engineer,1,85167,7097.25,0,0,55,Yes,1,3,1,4,25,Yes
EMP0133,56,Non-binary,Married,Computer Science,Technology,QA Analyst,2,72555,6046.25,9,0,42,No,4,4,5,2,10,No
EMP0134,37,Female,Divorced,Human Resources,Human Resources,HR Manager,3,121011,10084.25,2,1,35,No,2,4,3,3,14,No
EMP0135,24,Female,Married,Finance,Finance,Finance Director,5,178677,14889.75,0,0,54,Yes,2,3,3,3,14,No
EMP0136,24,Female,Single,Other,Marketing,Marketing Director,5,167766,13980.5,0,0,14,No,2,3,2,2,12,Yes
EMP0137,31,Non-binary,Married,Computer Science,Human Resources,HR Specialist,2,86569,7214.08,6,5,44,Yes,2,2,2,2,12,Yes
EMP0138,26,Male,Divorced,Human Resources,Marketing,Marketing Director,5,200695,16724.58,2,0,50,No,5,3,3,4,24,No
EMP0139,46,Female,Divorced,Marketing,Sales,Sales Representative,1,50053,4171.08,12,2,57,Yes,2,2,2,3,14,Yes
EMP0140,50,Non-binary,Divorced,Human Resources,Finance,Financial Analyst,1,76597,6383.08,17,1,48,No,3,3,3,2,10,No
EMP0141,57,Female,Divorced,Human Resources,Sales,Sales Director,5,171108,14259.0,4,2,29,Yes,2,2,2,3,16,Yes
EMP0142,53,Non-binary,Divorced,Life Sciences,Finance,Financial Analyst,1,65221,5435.08,12,5,49,No,2,3,2,3,18,Yes
EMP0143,34,Male,Married,Life Sciences,Finance,Finance Manager,4,161477,13456.42,7,3,30,No,4,3,2,2,14,No
EMP0144,33,Non-binary,Divorced,Computer Science,Finance,Senior Analyst,3,114092,9507.67,11,1,60,No,4,2,3,2,11,No
EMP0145,46,Female,Married,Human Resources,Finance,Finance Director,5,210020,17501.67,16,6,44,Yes,4,4,3,4,19,No
EMP0146,44,Female,Divorced,Human Resources,Technology,QA Analyst,2,77199,6433.25,20,6,58,Yes,2,2,2,3,18,Yes
EMP0147,50,Male,Married,Finance,Marketing,Marketing Specialist,2,65804,5483.67,15,1,28,No,5,2,5,2,12,No
EMP0148,35,Non-binary,Married,Marketing,Finance,Financial Analyst,1,87831,7319.25,7,5,14,Yes,3,2,3,3,15,No
EMP0149,37,Non-binary,Single,Human Resources,Sales,Account Manager,3,120281,10023.42,7,6,50,Yes,3,3,1,2,14,No
EMP0150,22,Non-binary,Single,Life Sciences,Human Resources,HR Associate,1,54126,4510.5,1,1,22,No,3,4,3,3,18,No
EMP0151,47,Non-binary,Single,Marketing,Human Resources,HR Director,5,190459,15871.58,5,5,55,No,5,4,4,2,11,No
EMP0152,33,Male,Divorced,Life Sciences,Marketing,Marketing Director,5,177409,14784.08,9,2,46,No,2,4,4,3,15,No
EMP0153,53,Male,Single,Life Sciences,Human Resources,HR Director,5,190593,15882.75,1,1,10,No,2,3,3,3,17,No
EMP0154,48,Non-binary,Married,Finance,Sales,Sales Representative,1,69938,5828.17,7,4,12,Yes,2,2,2,3,18,Yes
EMP0155,39,Non-binary,Married,Human Resources,Technology,Department Director,5,215805,17983.75,6,3,16,No,4,3,4,1,7,No
EMP0156,27,Male,Single,Life Sciences,Sales,Account Manager,4,129994,10832.83,5,3,20,No,4,4,4,2,14,No
EMP0157,56,Female,Married,Other,Human Resources,HR Manager,3,128712,10726.0,3,1,58,No,5,5,4,2,11,No
EMP0158,42,Female,Divorced,Finance,Finance,Senior Analyst,3,112610,9384.17,20,6,34,No,4,4,2,2,12,No
EMP0159,45,Male,Married,Marketing,Marketing,Marketing Coordinator,2,48052,4004.33,14,5,14,No,3,5,4,2,12,No
EMP0160,43,Non-binary,Divorced,Life Sciences,Marketing,Marketing Director,5,201662,16805.17,10,0,12,Yes,3,3,1,2,10,No
EMP0161,49,Female,Divorced,Life Sciences,Human Resources,HR Specialist,3,76979,6414.92,2,2,33,No,3,5,2,2,12,No
EMP0162,36,Male,Divorced,Computer Science,Technology,Software Engineer,1,75107,6258.92,4,4,24,No,3,1,3,2,13,No
EMP0163,52,Female,Single,Finance,Technology,Software Engineer,1,94088,7840.67,9,2,34,No,4,2,5,2,14,No
EMP0164,32,Male,Married,Other,Sales,Sales Executive,3,103992,8666.0,3,0,16,Yes,1,4,2,3,15,Yes
EMP0165,57,Non-binary,Divorced,Other,Marketing,Brand Manager,4,91757,7646.42,9,3,43,No,2,3,4,3,15,No
EMP0166,29,Female,Married,Other,Marketing,Marketing Coordinator,1,45395,3782.92,5,2,18,No,4,3,3,2,13,No
EMP0167,26,Female,Divorced,Computer Science,Technology,Tech Lead,4,153962,12830.17,3,2,50,No,4,3,3,3,18,No
EMP0168,39,Female,Married,Computer Science,Marketing,Marketing Specialist,3,70091,5840.92,17,5,35,No,4,4,4,2,13,No
EMP0169,37,Female,Single,Computer Science,Finance,Financial Analyst,1,84950,7079.17,1,1,52,No,4,2,4,3,15,No
EMP0170,44,Non-binary,Divorced,Other,Human Resources,HR Specialist,2,92568,7714.0,8,1,59,No,3,3,3,2,14,No
EMP0171,53,Male,Divorced,Marketing,Technology,Department Director,5,236319,19693.25,18,2,33,Yes,4,4,4,3,14,Yes
EMP0172,37,Female,Married,Marketing,Finance,Senior Analyst,3,97317,8109.75,13,3,30,Yes,4,3,3,2,10,Yes
EMP0173,24,Male,Single,Finance,Human Resources,HR Manager,3,131247,10937.25,3,0,33,Yes,2,3,3,2,13,No
EMP0174,34,Non-binary,Divorced,Life Sciences,Sales,Sales Representative,2,45783,3815.25,3,2,50,No,2,5,1,3,16,Yes
EMP0175,37,Male,Married,Computer Science,Sales,Account Manager,3,105169,8764.08,16,6,54,No,2,4,2,2,13,Yes
EMP0176,49,Non-binary,Single,Life Sciences,Human Resources,HR Manager,4,120752,10062.67,10,5,38,No,1,3,2,2,11,Yes
EMP0177,42,Male,Single,Human Resources,Human Resources,HR Specialist,2,83182,6931.83,8,1,15,Yes,4,4,4,3,16,Yes
EMP0178,44,Male,Divorced,Computer Science,Human Resources,HR Manager,4,106394,8866.17,0,0,35,No,2,4,2,2,11,Yes
EMP0179,36,Female,Single,Finance,Human Resources,HR Associate,1,56481,4706.75,2,0,14,Yes,2,4,1,3,14,Yes
EMP0180,32,Non-binary,Married,Other,Finance,Finance Director,5,176932,14744.33,6,5,37,Yes,1,2,2,1,9,Yes
EMP0181,53,Male,Divorced,Finance,Technology,Software Engineer,1,78993,6582.75,13,3,51,No,3,4,4,3,17,No
EMP0182,44,Male,Divorced,Finance,Human Resources,HR Manager,3,106784,8898.67,0,0,30,No,1,4,3,3,17,Yes
EMP0183,36,Female,Single,Life Sciences,Sales,Account Manager,3,93664,7805.33,7,6,32,No,5,2,3,2,12,No
EMP0184,23,Non-binary,Divorced,Marketing,Marketing,Marketing Specialist,2,71168,5930.67,1,1,21,No,1,3,2,2,10,Yes
EMP0185,30,Male,Divorced,Life Sciences,Human Resources,HR Associate,1,52641,4386.75,1,1,14,No,5,3,2,2,11,No
EMP0186,49,Non-binary,Married,Other,Human Resources,HR Specialist,3,86414,7201.17,19,5,24,No,4,3,4,2,11,No
EMP0187,58,Male,Divorced,Computer Science,Sales,Account Manager,4,104476,8706.33,20,1,41,Yes,4,3,5,3,14,No
EMP0188,43,Male,Single,Marketing,Sales,Sales Executive,2,97969,8164.08,8,1,56,Yes,2,4,2,2,13,Yes
EMP0189,52,Non-binary,Divorced,Other,Sales,Sales Executive,2,77189,6432.42,9,0,30,Yes,2,3,4,2,10,Yes
EMP0190,52,Non-binary,Single,Finance,Sales,Sales Director,5,170295,14191.25,1,0,31,Yes,1,4,2,2,12,Yes
EMP0191,47,Non-binary,Divorced,Finance,Sales,Sales Representative,1,59011,4917.58,2,1,52,No,3,2,2,3,14,No
EMP0192,29,Male,Married,Finance,Finance,Finance Manager,4,155659,12971.58,6,1,33,No,3,3,3,2,11,No
EMP0193,58,Female,Single,Other,Technology,Software Engineer,1,105484,8790.33,13,3,45,Yes,2,3,4,4,21,No
EMP0194,27,Male,Divorced,Computer Science,Marketing,Marketing Specialist,2,89811,7484.25,3,1,20,No,4,2,3,4,24,No
EMP0195,31,Non-binary,Married,Marketing,Technology,Software Engineer,1,96041,8003.42,8,5,27,No,5,1,4,2,13,No
EMP0196,31,Female,Divorced,Human Resources,Marketing,Marketing Coordinator,2,63438,5286.5,1,1,44,No,2,3,2,2,13,Yes
EMP0197,31,Non-binary,Divorced,Other,Finance,Financial Analyst,1,93801,7816.75,5,5,25,Yes,2,3,2,3,16,Yes
EMP0198,28,Female,Single,Marketing,Finance,Finance Manager,4,147313,12276.08,1,0,38,Yes,3,4,3,3,18,No
EMP0199,26,Male,Divorced,Human Resources,Finance,Senior Analyst,4,129359,10779.92,4,0,21,Yes,3,4,2,4,21,Yes
EMP0200,54,Male,Divorced,Computer Science,Technology,Senior Engineer,3,153931,12827.58,14,2,40,No,3,2,4,3,14,No
EMP0201,46,Female,Single,Human Resources,Sales,Sales Executive,2,88548,7379.0,8,6,42,Yes,3,4,1,3,18,No
EMP0202,36,Male,Divorced,Marketing,Human Resources,HR Director,5,174672,14556.0,11,7,26,Yes,2,3,3,1,7,No
EMP0203,40,Male,Divorced,Computer Science,Finance,Financial Analyst,1,74059,6171.58,10,4,26,No,5,4,2,2,11,No
EMP0204,47,Non-binary,Married,Other,Sales,Sales Representative,1,54686,4557.17,8,6,35,Yes,1,4,2,3,15,Yes
EMP0205,52,Non-binary,Married,Human Resources,Human Resources,HR Specialist,3,86292,7191.0,5,2,16,No,4,4,3,4,23,No
EMP0206,36,Male,Single,Other,Human Resources,HR Director,5,171713,14309.42,11,4,47,No,4,3,4,2,14,Yes
EMP0207,54,Female,Divorced,Finance,Marketing,Brand Manager,3,99881,8323.42,4,1,31,No,3,5,3,2,11,No
EMP0208,53,Male,Divorced,Life Sciences,Human Resources,HR Associate,1,56962,4746.83,6,6,59,Yes,4,3,4,3,17,Yes
EMP0209,46,Female,Single,Human Resources,Sales,Account Manager,4,111116,9259.67,16,3,11,No,4,3,4,2,11,No
EMP0210,54,Non-binary,Married,Life Sciences,Technology,Software Engineer,1,89059,7421.58,14,8,48,No,2,4,2,4,25,Yes
EMP0211,47,Female,Single,Life Sciences,Sales,Sales Executive,3,108071,9005.92,5,0,33,No,4,3,4,3,18,Yes
EMP0212,28,Non-binary,Single,Computer Science,Technology,Department Director,5,209118,17426.5,6,0,45,Yes,4,3,4,2,10,No
EMP0213,39,Non-binary,Divorced,Other,Sales,Sales Director,5,214437,17869.75,3,0,28,Yes,2,2,2,2,11,Yes
