EmployeeID,Department,Role,Age,TenureYears,AnnualSalary,OverTime,MonthsSincePromotion,SatisfactionScore,WorkLifeBalance,PerformanceRating,Status
EMP00069,Sales,Sales Executive,47,4.2,899000.0,No,31,4.2,3.9,3.9,Active
EMP00070,Operations,Ops Analyst,32,1.1,688000.0,No,36,1.8,3.9,2.9,Active
EMP00071,Sales,Sales Manager,33,6.2,945000.0,No,9,3.0,4.7,2.3,Active
EMP00072,Engineering,Software Engineer,38,2.7,1066000.0,No,16,3.4,3.0,3.5,Active
EMP00073,Customer Support,Support Lead,21,1.0,482000.0,No,45,5.0,4.5,3.1,Active
EMP00074,Engineering,Software Engineer,29,3.4,1218000.0,Yes,56,1.6,1.8,2.4,Active
EMP00075,Sales,Sales Executive,43,4.1,863000.0,No,1,3.3,2.3,3.6,Active
EMP00076,Engineering,Senior Engineer,21,4.3,1357000.0,No,25,4.7,4.0,4.2,Active
EMP00077,Engineering,Senior Engineer,45,6.1,1324000.0,No,53,2.7,1.9,2.1,Active
EMP00078,Finance,Financial Analyst,46,0.7,733000.0,No,18,3.2,3.8,3.9,Active
EMP00079,Operations,Ops Analyst,33,6.1,817000.0,No,27,3.7,3.4,1.4,Active
EMP00080,HR,HR Generalist,38,6.5,791000.0,No,55,3.6,4.3,2.9,Active
EMP00081,Finance,Accountant,43,1.0,778000.0,No,59,4.8,3.2,4.5,Active
EMP00082,Engineering,Engineering Manager,30,1.2,1107000.0,No,40,3.8,3.4,3.0,Active
EMP00083,HR,HR Generalist,42,5.0,733000.0,No,42,4.6,3.8,3.3,Active
EMP00084,Sales,Sales Executive,29,2.2,628000.0,No,37,3.1,2.7,3.7,Active
EMP00085,Sales,Account Manager,33,7.1,946000.0,No,18,2.7,2.7,2.0,Active
EMP00086,Sales,Account Manager,31,8.5,1021000.0,No,54,3.2,3.7,3.3,Active
EMP00087,Finance,Financial Analyst,37,1.0,894000.0,No,3,2.4,3.3,3.2,Active
EMP00088,Operations,Ops Analyst,43,1.5,637000.0,Yes,4,3.8,2.3,4.5,Active
EMP00089,Sales,Account Manager,33,3.2,792000.0,No,37,3.1,3.2,2.3,Active
EMP00090,Operations,Ops Manager,23,0.3,606000.0,Yes,51,2.8,4.1,2.9,Active
EMP00091,Sales,Account Manager,25,0.5,676000.0,No,49,3.8,2.9,2.6,Resigned
EMP00092,Finance,Financial Analyst,37,1.3,704000.0,No,41,2.4,2.9,2.5,Active
EMP00093,Operations,Process Lead,52,10.5,1074000.0,No,23,4.1,1.8,4.0,Active
EMP00094,Engineering,Senior Engineer,38,3.6,1297000.0,No,22,3.0,3.3,3.2,Active
EMP00095,Engineering,Senior Engineer,31,1.7,1062000.0,No,26,4.4,3.9,2.8,Active
EMP00096,Finance,Financial Analyst,40,1.2,818000.0,No,16,3.0,4.1,2.8,Active
EMP00097,Engineering,Engineering Manager,32,1.0,873000.0,No,26,4.0,3.4,2.8,Active
EMP00098,Sales,Sales Manager,31,1.8,741000.0,No,7,3.6,4.2,2.9,Active
EMP00099,Sales,Sales Executive,27,1.7,701000.0,No,20,4.1,4.0,2.3,Active
EMP00100,Customer Support,Support Manager,46,2.5,587000.0,No,57,3.5,4.3,3.0,Active
EMP00101,Customer Support,Support Manager,21,4.3,522000.0,Yes,43,1.9,3.6,2.9,Resigned
EMP00102,Finance,Financial Analyst,41,2.8,931000.0,Yes,9,4.3,4.1,2.7,Resigned
EMP00103,Engineering,Engineering Manager,32,5.3,1172000.0,No,18,3.3,3.1,3.3,Active
EMP00104,Customer Support,Support Associate,31,2.3,571000.0,Yes,16,4.1,1.5,3.4,Resigned
EMP00105,HR,HR Generalist,51,8.9,876000.0,No,17,4.0,3.9,2.8,Active
EMP00106,Finance,Financial Analyst,30,5.2,903000.0,Yes,42,2.7,3.4,3.1,Active
EMP00107,Operations,Ops Manager,29,3.5,713000.0,No,54,2.6,4.7,4.7,Active
EMP00108,Engineering,Senior Engineer,34,4.3,1315000.0,Yes,43,4.0,3.9,4.7,Resigned
EMP00109,Sales,Account Manager,38,1.9,747000.0,Yes,30,3.1,4.5,2.5,Resigned
EMP00110,Customer Support,Support Associate,31,2.5,481000.0,No,10,4.2,3.9,2.6,Active
EMP00111,Operations,Ops Analyst,22,2.4,675000.0,No,9,3.2,3.5,2.5,Active
EMP00112,Sales,Sales Manager,27,1.5,668000.0,No,49,4.3,2.1,3.9,Active
EMP00113,Engineering,Engineering Manager,44,0.8,1038000.0,No,41,3.8,3.6,2.9,Active
EMP00114,Operations,Process Lead,36,4.5,788000.0,Yes,31,3.7,2.2,3.4,Active
EMP00115,Sales,Sales Executive,39,5.8,748000.0,No,35,3.1,3.5,4.6,Active
EMP00116,Customer Support,Support Manager,33,4.0,614000.0,No,51,3.6,3.3,3.2,Active
EMP00117,HR,HR Manager,29,2.8,688000.0,Yes,49,4.5,3.1,3.7,Resigned
EMP00118,Finance,Accountant,52,11.6,1297000.0,No,6,3.4,3.2,3.6,Active
EMP00119,Operations,Ops Analyst,33,1.7,574000.0,No,24,3.9,4.1,2.8,Active
EMP00120,Finance,Finance Manager,31,3.6,858000.0,No,3,3.4,1.0,3.9,Active
EMP00121,Operations,Ops Manager,45,6.4,811000.0,No,24,3.5,3.5,2.6,Resigned
EMP00122,Finance,Financial Analyst,28,1.1,723000.0,No,39,5.0,4.4,4.1,Active
EMP00123,Sales,Sales Executive,31,4.7,813000.0,Yes,13,4.5,4.4,2.8,Active
EMP00124,Engineering,Senior Engineer,37,9.3,1290000.0,No,10,3.5,4.0,2.9,Active
EMP00125,Sales,Sales Executive,35,3.0,678000.0,No,30,3.6,4.8,2.4,Active
EMP00126,Operations,Ops Analyst,37,3.4,759000.0,Yes,32,2.8,2.9,2.6,Resigned
EMP00127,Engineering,Senior Engineer,51,1.7,972000.0,Yes,43,3.2,2.7,2.9,Resigned
EMP00128,Sales,Sales Manager,38,4.2,865000.0,No,1,3.7,3.8,1.5,Active
EMP00129,Sales,Sales Executive,21,1.5,612000.0,No,15,4.2,3.3,3.0,Resigned
EMP00130,Operations,Ops Manager,37,2.8,714000.0,No,47,4.1,2.6,2.8,Active
EMP00131,Sales,Sales Manager,34,0.7,655000.0,No,41,2.4,2.8,3.8,Active
EMP00132,Customer Support,Support Manager,34,0.1,526000.0,No,54,4.3,2.3,3.5,Active
EMP00133,Operations,Process Lead,36,2.0,729000.0,No,49,3.3,3.8,2.7,Active
EMP00134,Engineering,Software Engineer,34,2.0,1024000.0,No,51,2.5,3.3,2.9,Active
EMP00135,Operations,Process Lead,34,2.2,704000.0,No,31,4.6,3.0,3.0,Active
EMP00136,Sales,Sales Manager,40,5.1,780000.0,Yes,58,4.7,2.2,4.2,Active
EMP00137,Customer Support,Support Associate,32,6.0,669000.0,Yes,25,3.6,3.2,2.6,Resigned
EMP00138,Operations,Ops Manager,27,3.7,641000.0,No,55,4.0,4.0,2.7,Resigned
EMP00139,HR,Recruiter,60,4.8,695000.0,Yes,24,4.1,1.7,2.4,Active
EMP00140,Sales,Account Manager,28,1.6,645000.0,No,27,4.7,2.1,2.2,Active
EMP00141,Operations,Ops Analyst,35,1.2,717000.0,No,42,4.1,4.2,3.4,Active
EMP00142,Operations,Process Lead,23,4.3,742000.0,No,24,2.2,2.1,3.3,Active
EMP00143,Customer Support,Support Manager,35,1.1,526000.0,No,9,5.0,3.8,4.1,Active
EMP00144,Operations,Ops Manager,26,1.0,609000.0,No,54,4.4,4.8,3.9,Active
EMP00145,Operations,Process Lead,36,15.7,899000.0,Yes,28,2.9,4.2,4.9,Active
EMP00146,Engineering,Senior Engineer,43,3.1,1026000.0,No,56,2.5,4.0,3.1,Active
EMP00147,Engineering,Engineering Manager,38,2.0,1195000.0,Yes,24,3.9,3.3,3.0,Active
EMP00148,Operations,Ops Manager,39,1.8,725000.0,No,59,3.1,5.0,2.3,Resigned
EMP00149,Operations,Ops Manager,21,0.7,556000.0,Yes,37,3.7,1.0,3.7,Active
EMP00150,Sales,Sales Executive,50,3.7,853000.0,Yes,47,4.1,2.3,3.3,Active
EMP00151,HR,Recruiter,25,2.3,611000.0,Yes,46,2.9,3.5,3.7,Active
EMP00152,Customer Support,Support Associate,48,5.8,553000.0,No,13,2.4,3.0,2.4,Active
EMP00153,Sales,Sales Executive,43,4.4,829000.0,Yes,49,3.7,3.8,3.4,Active
EMP00154,Operations,Ops Analyst,39,2.3,607000.0,No,57,2.9,3.3,3.3,Active
EMP00155,Sales,Sales Manager,27,0.4,608000.0,No,40,3.5,3.4,3.3,Active
EMP00156,Finance,Financial Analyst,36,3.1,942000.0,No,57,2.2,3.1,2.7,Active
EMP00157,Engineering,Engineering Manager,31,2.9,1034000.0,No,51,3.2,2.8,4.0,Active
EMP00158,Finance,Finance Manager,34,0.3,853000.0,Yes,40,4.0,2.2,4.6,Active
EMP00159,Finance,Financial Analyst,33,4.0,974000.0,No,29,3.9,3.5,2.4,Active
EMP00160,HR,Recruiter,21,1.0,641000.0,No,52,2.7,2.6,3.7,Active
EMP00161,Sales,Account Manager,45,6.1,919000.0,No,12,2.3,4.2,1.2,Active
EMP00162,Customer Support,Support Lead,34,2.8,623000.0,No,34,3.4,3.9,3.7,Active
EMP00163,Engineering,Engineering Manager,30,1.8,1009000.0,No,49,3.9,4.3,1.9,Active
EMP00164,Sales,Account Manager,30,3.5,798000.0,No,57,3.8,2.3,2.8,Active
EMP00165,Operations,Ops Manager,38,3.3,722000.0,Yes,17,2.9,1.2,2.3,Active
EMP00166,Engineering,Senior Engineer,28,3.2,1270000.0,No,6,3.7,3.3,3.0,Active
EMP00167,HR,HR Manager,21,5.5,658000.0,Yes,21,4.8,5.0,3.8,Resigned
EMP00168,HR,Recruiter,38,3.6,684000.0,No,52,3.6,4.4,1.9,Active
EMP00169,Engineering,Senior Engineer,38,1.6,1121000.0,No,32,1.9,2.8,2.9,Active
EMP00170,Customer Support,Support Manager,33,2.4,528000.0,Yes,4,3.6,3.1,2.8,Resigned
EMP00171,Engineering,Engineering Manager,27,7.6,1536000.0,Yes,8,5.0,3.4,4.3,Active
EMP00172,Operations,Process Lead,35,1.5,629000.0,No,21,2.2,2.1,3.5,Active
EMP00173,Engineering,Engineering Manager,23,4.0,1063000.0,No,21,3.4,4.5,2.4,Active
EMP00174,Customer Support,Support Lead,28,5.7,660000.0,No,9,3.2,3.1,2.9,Active
EMP00175,Sales,Sales Manager,29,4.3,798000.0,No,30,3.5,3.2,4.3,Active
EMP00176,Sales,Sales Executive,41,3.1,659000.0,No,29,3.6,3.3,3.7,Active
EMP00177,Operations,Ops Analyst,32,3.5,632000.0,No,12,4.4,4.3,2.6,Active
EMP00178,Customer Support,Support Lead,32,4.5,554000.0,Yes,14,3.5,2.0,3.0,Resigned
EMP00179,Customer Support,Support Manager,50,1.5,565000.0,No,40,4.5,1.8,3.0,Active
EMP00180,HR,Recruiter,37,2.9,722000.0,No,58,3.3,3.6,2.8,Active
EMP00181,Customer Support,Support Lead,41,11.6,779000.0,No,60,3.1,1.5,2.0,Active
EMP00182,Customer Support,Support Lead,32,4.1,527000.0,No,34,2.8,3.0,2.7,Active
EMP00183,Operations,Ops Analyst,30,3.2,723000.0,Yes,3,1.8,3.8,4.2,Resigned
EMP00184,Engineering,Senior Engineer,21,2.2,1190000.0,Yes,54,3.6,3.2,2.9,Active
EMP00185,HR,Recruiter,42,1.5,644000.0,Yes,58,5.0,3.6,3.1,Active
EMP00186,Finance,Accountant,39,3.6,855000.0,Yes,17,3.8,3.3,3.3,Active
EMP00187,Engineering,Senior Engineer,34,3.8,1035000.0,No,25,4.0,5.0,4.8,Active
EMP00188,Sales,Sales Executive,34,2.8,850000.0,Yes,2,3.0,2.2,3.2,Active
EMP00189,HR,HR Manager,45,14.7,973000.0,No,49,3.2,3.7,4.0,Active
EMP00190,Engineering,Senior Engineer,22,1.6,902000.0,No,47,4.3,2.9,2.8,Active
EMP00191,Customer Support,Support Associate,29,1.3,568000.0,No,2,5.0,4.2,3.0,Active
EMP00192,Engineering,Senior Engineer,25,2.2,945000.0,No,43,4.7,3.2,3.2,Resigned
EMP00193,Sales,Account Manager,49,2.9,663000.0,No,25,4.1,4.8,2.7,Resigned
EMP00194,HR,HR Generalist,41,1.4,642000.0,Yes,33,3.4,2.2,3.1,Active
EMP00195,Sales,Sales Executive,21,3.6,799000.0,No,14,3.6,4.6,3.8,Resigned
EMP00196,Sales,Sales Executive,23,3.8,778000.0,No,49,2.7,3.8,2.6,Active
EMP00197,Operations,Ops Manager,34,4.9,870000.0,No,25,2.1,3.3,3.2,Active
EMP00198,Customer Support,Support Manager,30,1.9,589000.0,No,51,2.4,3.8,3.7,Active
EMP00199,Sales,Sales Manager,26,7.2,807000.0,No,9,3.4,3.5,2.6,Active
EMP00200,Engineering,Senior Engineer,51,4.6,1254000.0,No,36,3.1,3.6,4.0,Active
EMP00201,HR,HR Manager,37,1.6,652000.0,No,19,2.1,3.1,3.3,Resigned
EMP00202,Customer Support,Support Associate,38,1.4,528000.0,No,58,3.4,2.7,3.1,Active
EMP00203,Operations,Process Lead,29,2.4,786000.0,No,34,3.1,3.0,1.8,Active
EMP00204,Sales,Account Manager,41,3.8,843000.0,No,44,2.3,1.8,2.9,Active
EMP00205,Sales,Sales Manager,32,4.3,721000.0,No,6,3.1,4.1,3.5,Active
EMP00206,Engineering,Engineering Manager,33,4.6,1102000.0,No,41,3.1,2.2,4.4,Active
EMP00207,Sales,Account Manager,43,11.1,1142000.0,No,7,2.8,3.1,3.6,Active
EMP00208,Finance,Financial Analyst,21,0.5,888000.0,No,22,4.2,3.9,4.0,Active
EMP00209,Sales,Account Manager,47,2.7,664000.0,Yes,14,1.7,3.5,2.4,Active
EMP00210,Operations,Process Lead,39,10.5,845000.0,No,1,1.6,1.7,3.1,Active
EMP00211,Finance,Finance Manager,46,5.0,1052000.0,No,36,3.4,3.2,4.1,Active
EMP00212,Operations,Process Lead,25,1.2,559000.0,No,15,3.5,3.7,2.6,Active
EMP00213,Sales,Sales Executive,27,3.4,681000.0,No,31,3.8,3.3,3.9,Resigned
EMP00214,HR,Recruiter,25,2.6,710000.0,No,46,2.9,4.5,3.7,Active
EMP00215,Finance,Financial Analyst,37,2.5,940000.0,No,11,2.6,2.6,3.4,Active
EMP00216,Finance,Finance Manager,35,1.9,931000.0,Yes,43,3.4,1.0,3.0,Resigned
EMP00217,Sales,Sales Manager,31,3.2,810000.0,Yes,18,3.0,3.4,2.5,Resigned
EMP00218,Sales,Sales Executive,28,6.3,848000.0,No,20,4.8,2.8,4.4,Active
EMP00219,Customer Support,Support Lead,24,2.1,606000.0,Yes,35,3.1,1.1,3.6,Active
EMP00220,Engineering,Engineering Manager,35,4.7,1144000.0,No,38,3.4,3.2,3.4,Resigned
EMP00221,Engineering,Engineering Manager,32,5.2,1162000.0,Yes,40,5.0,3.8,2.9,Resigned
EMP00222,Operations,Ops Manager,31,7.1,955000.0,No,12,3.2,2.2,3.2,Active
EMP00223,Finance,Financial Analyst,46,1.4,857000.0,No,35,3.9,5.0,3.3,Active
EMP00224,Customer Support,Support Manager,34,3.0,634000.0,No,16,4.0,2.5,3.5,Active
EMP00225,Engineering,Engineering Manager,44,1.7,939000.0,No,17,4.1,3.4,3.7,Active
EMP00226,Customer Support,Support Lead,31,3.2,650000.0,No,57,3.7,2.2,2.7,Active
EMP00227,Sales,Sales Manager,37,3.2,801000.0,No,7,3.6,3.3,2.2,Active
EMP00228,Operations,Ops Analyst,33,1.1,672000.0,No,25,3.5,3.2,3.3,Active
EMP00229,Finance,Accountant,21,3.4,1015000.0,Yes,27,2.9,1.4,2.0,Resigned
EMP00230,Sales,Sales Executive,50,11.5,1003000.0,Yes,15,3.7,5.0,3.0,Active
EMP00231,Sales,Sales Manager,34,4.3,872000.0,No,48,5.0,2.9,2.8,Active
EMP00232,Engineering,Engineering Manager,40,0.9,1043000.0,No,30,4.5,2.9,3.5,Active
EMP00233,Customer Support,Support Manager,28,1.3,562000.0,No,44,3.7,4.2,4.6,Active
EMP00234,Operations,Ops Manager,33,2.9,788000.0,No,24,4.2,4.9,1.8,Active
EMP00235,Customer Support,Support Associate,27,1.4,548000.0,No,54,2.6,4.3,4.8,Active
EMP00236,HR,HR Generalist,46,6.9,677000.0,No,44,3.2,2.2,3.0,Active
EMP00237,Operations,Ops Manager,36,0.8,569000.0,No,20,4.3,3.5,3.4,Active
EMP00238,HR,HR Manager,38,4.3,786000.0,No,58,4.7,1.6,2.2,Active
EMP00239,Sales,Sales Executive,45,0.6,768000.0,No,52,2.7,4.1,3.9,Active
EMP00240,Sales,Sales Manager,44,2.9,870000.0,No,36,3.0,1.8,3.2,Active
EMP00241,HR,HR Generalist,40,1.2,508000.0,No,1,5.0,2.6,3.2,Active
EMP00242,HR,Recruiter,24,4.9,687000.0,No,36,3.5,3.3,1.8,Active
EMP00243,Engineering,Software Engineer,30,6.1,1399000.0,Yes,42,5.0,3.1,3.3,Active
EMP00244,Operations,Ops Manager,27,3.8,793000.0,No,22,3.6,3.1,3.8,Active
EMP00245,Finance,Accountant,42,6.3,905000.0,No,9,3.6,4.7,3.0,Active
EMP00246,Customer Support,Support Associate,35,0.2,502000.0,No,34,3.1,4.0,4.0,Active
EMP00247,Finance,Accountant,24,3.3,802000.0,Yes,49,4.2,3.3,4.0,Active
EMP00248,Engineering,Engineering Manager,34,4.3,1193000.0,No,20,4.6,2.2,2.8,Active
EMP00249,Engineering,Engineering Manager,23,4.6,1118000.0,No,28,2.5,4.8,4.3,Resigned
EMP00250,Operations,Ops Analyst,35,4.1,647000.0,No,1,3.1,2.6,3.2,Active
EMP00251,Finance,Finance Manager,22,4.7,840000.0,No,43,4.2,4.9,3.2,Active
EMP00252,Customer Support,Support Manager,39,3.3,646000.0,Yes,52,3.3,4.5,3.3,Active
EMP00253,Operations,Process Lead,37,0.9,679000.0,No,47,3.0,3.8,3.2,Active
EMP00254,Engineering,Senior Engineer,50,1.9,1195000.0,No,26,4.3,4.2,1.4,Active
EMP00255,Engineering,Engineering Manager,43,6.9,1331000.0,Yes,3,4.4,1.0,3.1,Active
EMP00256,HR,Recruiter,33,6.4,741000.0,No,30,3.0,3.1,2.2,Active
EMP00257,HR,HR Generalist,42,4.2,659000.0,No,57,3.6,4.3,4.3,Active
EMP00258,Sales,Sales Executive,24,4.9,870000.0,Yes,6,2.3,3.5,4.3,Active
EMP00259,Sales,Sales Manager,28,5.9,841000.0,No,13,2.6,2.2,3.8,Resigned
EMP00260,Operations,Ops Analyst,38,4.2,807000.0,No,51,3.5,3.0,3.0,Active
EMP00261,Sales,Account Manager,21,6.8,998000.0,No,35,3.4,1.0,2.5,Active
EMP00262,HR,HR Manager,36,6.6,854000.0,No,11,2.5,3.7,2.7,Active
EMP00263,Engineering,Software Engineer,31,13.8,1403000.0,Yes,2,2.8,1.0,4.6,Active
EMP00264,Sales,Account Manager,35,2.0,734000.0,No,25,2.4,4.3,2.7,Active
EMP00265,Customer Support,Support Associate,26,2.0,493000.0,No,36,3.8,4.4,1.6,Active
EMP00266,Sales,Account Manager,38,3.9,691000.0,Yes,51,1.6,2.3,3.9,Resigned
EMP00267,Engineering,Software Engineer,38,10.1,1615000.0,No,54,2.5,3.8,4.3,Resigned
EMP00268,Sales,Sales Manager,48,7.1,941000.0,Yes,28,1.7,2.5,4.4,Active
EMP00269,Sales,Sales Executive,36,5.4,918000.0,No,26,3.8,3.5,3.9,Active
EMP00270,Sales,Sales Manager,30,7.4,822000.0,No,56,1.8,2.3,4.0,Active
EMP00271,Sales,Sales Manager,33,4.3,939000.0,No,47,3.4,3.9,3.2,Active
EMP00272,Sales,Sales Manager,24,2.4,854000.0,No,13,4.9,1.8,1.7,Active
EMP00273,Sales,Sales Manager,41,11.8,1029000.0,Yes,41,4.9,1.1,3.2,Active
EMP00274,Operations,Ops Analyst,40,4.1,830000.0,No,43,1.8,3.2,3.6,Active
EMP00275,Finance,Finance Manager,56,6.5,962000.0,Yes,15,3.7,2.5,3.1,Active
EMP00276,Engineering,Senior Engineer,29,0.2,1030000.0,No,59,2.5,3.5,3.1,Resigned
EMP00277,Engineering,Engineering Manager,31,0.2,1071000.0,No,18,2.3,2.7,2.5,Active
EMP00278,Operations,Process Lead,30,3.4,791000.0,Yes,33,3.3,4.4,2.5,Active
EMP00279,Customer Support,Support Lead,36,1.4,569000.0,Yes,30,4.5,2.8,4.5,Resigned
EMP00280,Customer Support,Support Lead,38,3.6,577000.0,Yes,42,3.9,2.9,4.5,Active
EMP00281,Sales,Sales Executive,34,2.0,798000.0,Yes,55,2.8,2.9,3.2,Resigned
EMP00282,Sales,Sales Executive,48,15.1,1099000.0,Yes,24,4.0,3.6,3.4,Active
EMP00283,Engineering,Senior Engineer,31,6.2,1160000.0,No,24,1.4,3.8,2.5,Resigned
EMP00284,Engineering,Engineering Manager,45,7.9,1238000.0,No,46,2.7,3.7,3.6,Active
EMP00285,Operations,Ops Manager,38,0.3,661000.0,No,58,2.7,4.0,4.4,Active
EMP00286,Engineering,Senior Engineer,36,5.3,1299000.0,No,55,3.5,1.7,2.1,Active
EMP00287,Sales,Sales Executive,32,2.6,756000.0,No,46,3.2,1.7,3.5,Active
